repo,pluginStatus,category,readmeLength,fenceMarkCount,practicalVersion,oldScore,practicalV2,delta,ease
nexu-io/open-design,conflict,session,57213,20,2,80,87,7,100
ruvnet/ruflo,unknown,session,29898,18,2,80,61,-19,100
amruthpillai/reactive-resume,conflict,tools,12306,4,2,80,37,-43,100
esengine/DeepSeek-Reasonix,unknown,model,12433,10,2,80,31,-49,70
volcengine/OpenViking,unknown,memory,16213,10,2,80,32,-48,100
Molunerfinn/PicGo,unknown,tools,10940,8,2,50,32,-18,100
titanwings/distilly,unknown,model,17331,10,2,50,46,-4,100
nocobase/nocobase,unknown,tools,6692,2,2,80,47,-33,100
titanwings/colleague-skill,verified-plugin,model,17331,10,2,50,46,-4,100
freestylefly/awesome-gpt-image-2,verified-non-plugin,tools,32609,18,2,50,34,-16,35
anywhere-labs/dsh-desktop,verified-plugin,other,12411,2,2,50,32,-18,70
Tencent/WeKnora,unknown,model,30220,12,2,50,68,18,65
Nagi-ovo/voyager,verified-non-plugin,tools,17667,2,2,80,34,-46,80
anywhere-labs/deepseek-harness-desktop,conflict,other,12411,2,2,50,32,-18,70
tt-a1i/archify,verified-plugin,session,18314,18,2,80,56,-24,100
walkinglabs/learn-harness-engineering,verified-non-plugin,model,39418,22,2,80,63,-17,80
awesome-dsh-plugin/awesome-dsh-plugin,verified-non-plugin,other,634759,6,2,50,24,-26,65
EverMind-AI/EverOS,unknown,model,25962,24,2,80,26,-54,45
MemTensor/MemOS,verified-plugin,model,17406,26,2,50,51,1,30
YaoApp/yao,unknown,tools,1715,0,2,20,11,-9,65
yjh051108/dsh-routing-suite,verified-plugin,workflow,3505,4,2,80,25,-55,100
zhu1090093659/dsh-web,verified-plugin,tools,38710,6,2,80,43,-37,100
zhu1090093659/dsh-web-ui,verified-plugin,theme,38710,6,2,80,43,-37,100
Q00/ouroboros,unknown,model,38109,48,2,80,65,-15,70
ZSeven-W/openpencil,verified-non-plugin,tools,38145,44,2,80,75,-5,100
Devin-AXIS/iPolloWork,verified-non-plugin,skill,17222,18,2,80,25,-55,100
crafter-station/petdex,conflict,tools,7512,8,2,80,28,-52,50
xiaobright/dsh-anchored-standard,verified-plugin,model,39094,20,2,80,42,-38,45
liustack/modlens,verified-plugin,vision,17682,6,2,80,34,-46,70
strukto-ai/mirage,unknown,model,10599,16,2,80,10,-70,100
agentscope-ai/ReMe,verified-plugin,memory,24352,20,2,80,71,-9,65
edison7009/EchoBird,verified-non-plugin,model,10469,4,2,80,47,-33,50
whiteguo233/OpenBiliClaw,unknown,model,39658,34,2,80,73,-7,80
Tiger3807861189/J-Space-Cognition-Suite-V3.7,unknown,tools,14049,12,2,80,45,-35,80
Tiger3807861189/J-Space-Cognition-Suite-V3.6,unknown,tools,14049,12,2,80,45,-35,80
foryourhealth111-pixel/Vibe-Skills,unknown,model,24689,2,2,50,9,-41,35
omdsh-dev/DSH-better-sidebar,verified-plugin,ui,48986,14,2,50,53,3,100
imsai-sh/zhuzhiliao,unknown,tools,4876,2,2,50,0,-50,65
chuspeeism/dashi-taskboard,conflict,skill,13488,30,2,80,18,-62,100
ccch1mneyyy/dsh-TUI,verified-plugin,ui,6554,8,2,80,33,-47,65
dsh-market/dsh-market,verified-plugin,market,11530,8,2,80,42,-38,100
zilliztech/memsearch,unknown,memory,28964,80,2,80,48,-32,65
GCWing/BitFun,verified-non-plugin,dev,11076,2,2,80,34,-46,50
Small-tailqwq/dsh-deep-whale,verified-plugin,theme,8274,20,2,80,11,-69,100
Jesseovo/last30days-skill-cn,unknown,tools,12776,36,2,80,46,-34,65
Alisa0808/vox-director,unknown,model,7883,8,2,80,23,-57,65
hyhmrright/brooks-lint,verified-non-plugin,tools,26229,24,2,80,40,-40,65
AdamPlatin123/awesome-dsh-plugins,unknown,other,17878,2,2,50,60,10,65
Tencent/BrowserSkill,verified-plugin,tools,8408,16,2,80,36,-44,80
dsh-tauri-desk/deepseek-harness-desktop,unknown,other,5750,4,2,80,40,-40,70
mem9-ai/mem9,verified-plugin,memory,30199,10,2,80,65,-15,15
GanyuanRan/Aegis,verified-plugin,skill,15969,12,2,50,30,-20,65
alvinunreal/openpets,conflict,tools,15689,26,2,50,56,6,65
platonai/Browser4,unknown,tools,36193,50,2,80,38,-42,65
Anionex/agent-vision-toolkit,verified-plugin,model,27073,30,2,80,67,-13,65
paean-ai/deeptide,verified-non-plugin,dev,14951,20,2,80,25,-55,65
agentrq/agentrq,unknown,session,16874,30,2,80,66,-14,100
TencentCloudBase/CloudBase-AI-Toolkit,conflict,tools,20500,18,2,80,56,-24,80
NanmiCoder/dsh-agent-teams,verified-plugin,workflow,12155,16,2,80,66,-14,70
bowenliang123/dsh-context,verified-plugin,usage,13365,4,2,80,12,-68,100
Tiger3807861189/DeepSeek-V4-J-Space-Capability-Realization-Report,unknown,skill,3443,0,2,30,0,-30,65
MemTensor/memmy-agent,verified-non-plugin,model,17276,20,2,50,30,-20,35
sunchaokun/PPT-Design-Skill,unknown,tools,12539,28,2,80,65,-15,80
MeteorNOX/DeepSeek-Balance-Whale-Widget,verified-plugin,ui,7435,26,2,80,60,-20,45
ysr666/dsh-vision-router,verified-plugin,vision,47424,36,2,80,81,1,80
Anil-matcha/awesome-dsh-plugin,unknown,model,59296,4,2,80,80,0,100
PicGo/PicGo-Core,verified-non-plugin,tools,7581,36,2,80,35,-45,100
vostride/agent-qa,verified-non-plugin,model,4051,10,2,50,27,-23,100
mindscale-noah/MindMemOS,unknown,memory,22470,48,2,50,53,3,0
tong-io/tongflow,conflict,tools,26930,10,2,50,31,-19,0
Anil-matcha/awesome-deepseek-harness,unknown,model,59296,4,2,80,80,0,100
0xsline/awesome-deepseek-harness,unknown,model,149250,4,2,80,48,-32,65
xyTom/coding-tools-mcp,verified-non-plugin,tools,11073,12,2,50,41,-9,65
freestylefly/wesight,verified-non-plugin,model,21294,20,2,80,82,2,100
xmanrui/dsh-im,verified-plugin,notify,20032,12,2,80,40,-40,70
Anionex/dsh-vision-toolkit,verified-plugin,vision,23846,14,2,80,65,-15,100
toby-bridges/api-relay-audit,verified-plugin,security,20959,16,2,80,78,-2,100
vshulcz/deja-vu,unknown,model,24405,18,2,80,47,-33,35
hellowind777/helloagents,unknown,other,44848,52,2,80,72,-8,100
shaobeichen/dsh-pocket,verified-plugin,notify,8773,8,2,50,59,9,100
ccch1mneyyy/working-activity,conflict,dev,8928,38,2,80,36,-44,100
Electricitysheep/dsh-handbook,unknown,model,15793,14,2,50,50,0,65
sandbaseai/sandbase-harness,verified-plugin,workflow,16344,44,2,80,55,-25,65
vibeinging/dsh-desktop,verified-plugin,model,11562,8,2,80,41,-39,70
superdesigndev/treg,verified-plugin,tools,19941,36,2,50,46,-4,65
chainbase-labs/Agentkey,unknown,tools,30488,42,2,80,52,-28,100
adoresever/graph-memory,verified-plugin,memory,17993,28,2,80,55,-25,65
Nagi-ovo/dsh-ads,verified-plugin,fun,2451,2,2,80,9,-71,100
lencx/Minke,verified-plugin,skill,15291,16,2,80,34,-46,50
fufankeji/deepseek-harness-studio,verified-non-plugin,tools,20148,12,2,80,72,-8,35
mnemon-dev/mnemon,verified-plugin,model,22047,56,2,80,64,-16,65
alibaba/anolisa,verified-plugin,memory,10200,6,2,80,30,-50,50
Devin-AXIS/deepseek-design,verified-plugin,other,13719,26,2,80,61,-19,80
Minglink/dsh-infinite-gen-2,verified-plugin,other,6725,18,2,50,31,-19,65
hashgraph-online/hol-guard,unknown,tools,46149,68,2,80,43,-37,100
xiaods/k8e,verified-plugin,other,23237,40,2,80,34,-46,100
Lum1104/dsh-browser,verified-plugin,tools,12718,20,2,80,73,-7,100
FSMargoo/dsh-at-file,verified-plugin,tools,7296,10,2,80,23,-57,100
syncable-dev/memtrace-public,unknown,model,21240,26,2,80,62,-18,100
EthanYoQ/AI-Novel-Writer,conflict,tools,7271,14,2,80,41,-39,70
superdesigndev/superdesign-skill,verified-plugin,skill,14443,34,2,80,52,-28,100
Ikalus1988/MisakaNet,verified-plugin,memory,24346,26,2,80,68,-12,100
houyanchao/chatgpt-gemini-timeline,unknown,skill,5906,0,2,60,42,-18,50
PC2005-cloud/dsh-pet,verified-plugin,fun,21047,22,2,80,39,-41,65
yogsoth-ai/de-anthropocentric-research-engine,verified-non-plugin,tools,33550,30,2,50,63,13,65
ZJU-LLMs/OpenStory,verified-non-plugin,model,4704,12,2,50,55,5,35
WYH66666666/DSH-Transparent-UI-Plugin,unknown,theme,3852,10,2,80,35,-45,100
text2future/flowix,conflict,memory,5241,4,2,80,21,-59,70
yjh051108/dsh-router-standard,unknown,dev,12323,6,2,50,64,14,65
morluto/rea,unknown,model,64501,56,2,80,74,-6,100
PM-Shawn/Abu-Cowork,verified-non-plugin,model,26460,18,2,80,89,9,100
omdsh-dev/dsh-genui,verified-plugin,ui,19620,22,2,50,63,13,65
tingly-dev/tingly-box,verified-non-plugin,model,16452,34,2,80,55,-25,65
Zhiyuan-Fan/Awesome-DeepSeek-Harness-Plugins,unknown,model,266975,0,2,30,25,-5,65
linhay/harmony-next.skills,verified-plugin,skill,8653,20,2,50,65,15,100
Unclecheng-li/DeepSec,verified-plugin,skill,17316,42,2,80,67,-13,65
Minara-AI/minara-skills,unknown,skill,9942,18,2,80,39,-41,70
alaliqing/claude-paper,verified-non-plugin,tools,11730,26,2,80,51,-29,80
zhoushoujianwork/easyeda-agent,verified-plugin,tools,16786,14,2,80,67,-13,65
whitelonng/dshcode,unknown,dev,6161,4,2,80,35,-45,100
bruc3van/awesome-dsh-plugin,unknown,dev,31143,2,2,50,19,-31,65
anysearch-team/anysearch-dsh,verified-plugin,tools,8054,20,2,80,36,-44,65
nutshellai-tech/mobius,unknown,dev,10025,4,2,80,16,-64,100
hust-open-atom-club/oh-dsh,verified-plugin,dev,6936,14,2,50,48,-2,65
vlln/whale-girl,verified-plugin,fun,7203,6,2,80,27,-53,100
V1ki/dsh-plugin-subscriptions,verified-plugin,model,14993,18,2,80,9,-71,100
liustack/modsearch,verified-plugin,browser,11852,2,2,80,28,-52,35
Awesome-AI-Pedia/Awesome-AI-Pedia,verified-non-plugin,tools,4332,4,2,50,25,-25,100
QCYTSN/dsh-dafeiyu,verified-plugin,fun,10689,48,2,80,41,-39,80
howmp/dsh-pentest,verified-plugin,security,4005,6,2,80,47,-33,80
ericshang98/Perfect-Web-Clone,verified-plugin,tools,2336,8,2,80,3,-77,100
Ariestar/sivtr,unknown,memory,11056,36,2,80,60,-20,100
ZSeven-W/dsh-ios,verified-plugin,dev,31525,4,2,80,79,-1,70
SepineTam/mcp-for-stata,unknown,model,20532,36,2,80,25,-55,100
op7418/pilot-harness,unknown,dev,12164,0,2,60,28,-32,50
openma-ai/open-managed-agents,verified-non-plugin,dev,35783,54,2,80,38,-42,65
mrpulor-gh/nuphus-mcp,verified-non-plugin,model,15873,34,2,80,25,-55,65
csyangwen/dsh-memory-evolve,verified-plugin,session,11901,8,2,80,37,-43,100
kelai141/dsh-mobile-apk,unknown,tools,10455,4,2,50,25,-25,65
omdsh-dev/dsh-mnemon,verified-plugin,memory,17294,12,2,50,72,22,100
huiliyi37/dsh-tianshu-tui,verified-plugin,ui,17626,12,2,80,36,-44,80
liangmianya/dsh-synapse,verified-plugin,session,2418,4,2,50,26,-24,35
hikariming/dshfind,verified-non-plugin,market,2699,4,2,80,6,-74,80
TencentCloud/tencentmeeting-cli,verified-non-plugin,skill,37293,158,2,80,40,-40,100
shanliuling/dsh-image-gen,verified-plugin,workflow,4497,16,2,80,47,-33,80
EverMind-AI/SkillCorpus,unknown,model,19678,18,2,80,51,-29,45
libukai/awesome-deepseek-harness,unknown,tools,32946,8,2,80,60,-20,70
ZJU-REAL/Polaris,verified-plugin,tools,20734,14,2,80,37,-43,50
Nagi-ovo/dsh-visualize,verified-plugin,ui,1536,2,2,70,9,-61,100
ningbainb/deepseek-harness-desktop,verified-plugin,theme,9528,0,2,30,54,24,65
Aisland-SJL/dsh-worktable,verified-plugin,tools,8753,8,2,80,67,-13,100
Han-1413141/dsh-cost-meter,verified-plugin,usage,16389,20,2,80,55,-25,65
Dominic789654/awesome-deepseek-harness,verified-plugin,model,725479,2,2,80,19,-61,100
Inference1/clarify-intent-and-establish-shared-understanding,unknown,skill,7416,16,2,50,16,-34,100
zenstory-ai/oh-story-dsh,verified-plugin,skill,2661,4,2,80,30,-50,45
elysia395/dsh-wallpaper-engine,verified-plugin,theme,17542,14,2,80,40,-40,100
d-dev0101/open-sea-skin,verified-plugin,theme,8193,18,2,80,9,-71,100
imsai-sh/awesome-deepseek-harness-plugins,conflict,tools,353795,12,2,80,33,-47,100
shanliuling/skills-link,verified-non-plugin,tools,3482,14,2,80,31,-49,100
Ruler4396/dsh-launcher,unknown,tools,2760,2,2,80,31,-49,100
tinqiao-oss/engramory,verified-plugin,model,25922,10,2,80,15,-65,80
omdsh-dev/dsh-data-agent,verified-plugin,tools,5492,6,2,80,57,-23,100
pulseaiclub/phi,unknown,model,17967,28,2,80,51,-29,65
Nagi-ovo/dsh-find-plugins,unknown,tools,1468,2,2,70,5,-65,80
worldwonderer/oh-story-dsh,verified-plugin,skill,2661,4,2,80,30,-50,45
weijiafu14/pi2dsh,verified-plugin,other,27678,22,2,80,46,-34,65
cocofhu/anime-find,verified-plugin,session,5335,16,2,80,49,-31,100
cocode-agency/cocode,unknown,dev,13702,14,2,80,45,-35,80
dream-num/dsh-univer-office,verified-plugin,docs,13533,12,2,50,55,5,65
zhaoolee/notes,conflict,skill,4184,8,2,50,21,-29,100
saya-ch/dsh-mobile,verified-plugin,remote,7859,18,2,80,62,-18,50
zh667/TokenLedger,verified-plugin,usage,10341,14,2,50,32,-18,100
ZSeven-W/dsh-openpencil,verified-plugin,ui,25439,22,2,80,33,-47,70
yjh051108/dsh-super-injector,verified-plugin,other,11206,10,2,80,57,-23,100
bradeGithub/DSH-Plugins-Marketplace,verified-plugin,market,15001,12,2,80,57,-23,65
liebaojun/MakoCode,verified-non-plugin,model,12464,12,2,80,42,-38,100
yzlnew/infra-skills,unknown,skill,12953,18,2,80,45,-35,100
ChisaAlter/Deepseek-Harness-Desktop,verified-plugin,theme,5423,6,2,80,34,-46,50
humblebanana/open-record-replay,verified-non-plugin,skill,10930,52,2,50,61,11,65
Totoro-qaq/dsh-plugin-bridge,verified-plugin,session,9072,12,2,80,45,-35,100
kingOfSoySauce/dsh-liang-skin,verified-plugin,theme,4068,12,2,80,31,-49,80
drewnekota/cetus,verified-non-plugin,workflow,16314,10,2,50,54,4,30
liceses/dsh-gitbash-preset,verified-plugin,dev,2666,4,2,80,26,-54,100
summer1238/dsh-remote-web-gateway,verified-plugin,model,5517,8,2,80,26,-54,100
EthanYoQ/Invoice-Downloader,verified-plugin,tools,7900,8,2,50,58,8,65
oil-oil/dsh-oil-creator,verified-plugin,other,5337,14,2,80,52,-28,35
toolclub/dsh-agent-team-gui,verified-plugin,workflow,20347,20,2,80,79,-1,100
GraySilver/dsh-evolve-modes,verified-plugin,tools,6204,16,2,50,30,-20,100
hyqibot/A-share-Ai,unknown,skill,15445,0,2,30,25,-5,65
Ychris12138/dsh-usage-stats,verified-plugin,usage,18732,42,2,80,63,-17,65
Ayase34/gal-view,verified-plugin,session,1865,10,2,70,2,-68,100
wssfk12138/dsh-damage-pulse,verified-plugin,usage,12067,10,2,80,43,-37,45
NanmiCoder/dsh-auto-mode,verified-plugin,model,9750,10,2,80,0,-80,70
ZSeven-W/dsh-noema,verified-plugin,memory,11849,8,2,80,27,-53,70
lire1131/dsh-undo-savepoint,verified-plugin,dev,13779,18,2,80,58,-22,80
beancookie/awesome-dsh-plugin,verified-non-plugin,other,63537,2,2,50,62,12,65
SkillNerds/xskill,unknown,skill,11265,28,2,50,65,15,65
Vladimir-Human/humanizer-ru,verified-plugin,model,34994,22,2,50,21,-29,100
RevolutionLA/dsh-dream-skin,verified-plugin,theme,12436,22,2,50,59,9,100
Nwflower/dsh-chat-import,verified-plugin,session,4069,4,2,80,26,-54,100
PerryLink/dsh-auto-review,verified-plugin,security,29124,22,2,80,49,-31,65
shengsheng90/DSH-taskboard,verified-plugin,workflow,19297,32,2,80,25,-55,100
Sikao-Engine/KimiX,unknown,dev,10083,8,2,80,57,-23,65
taxueseek/argo,verified-plugin,tools,23747,40,2,80,82,2,65
ZSeven-W/dsh-crew,verified-plugin,workflow,25654,22,2,80,62,-18,65
volcengine/ark-cli,verified-plugin,model,5753,34,2,80,27,-53,100
Mars-Sea/dsh-commandcode-provider,verified-plugin,model,8853,18,2,80,48,-32,65
HanaAyane/dsh-reasoning-effort,verified-plugin,model,5721,14,2,80,41,-39,80
pengyue-polaron/deepseek-harness-genui,verified-plugin,ui,10132,14,2,80,47,-33,100
seriousz158/dsh-memory,verified-plugin,memory,11022,22,2,80,40,-40,100
ZSeven-W/dsh-android,verified-plugin,session,25406,8,2,80,76,-4,70
alibaba/loongsuite-pilot,unknown,model,16100,12,2,80,56,-24,100
hancao97/hanai-investment-dsh,verified-plugin,tools,13687,16,2,80,49,-31,80
Sanqi-normal/dsh-webui-market-plugin,verified-plugin,market,7281,6,2,80,28,-52,100
omdsh-dev/dsh-annotation,verified-plugin,ui,9624,14,2,80,27,-53,100
Anionex/dsh-turn-rewind,verified-plugin,session,10705,10,2,80,40,-40,100
Fishquito7/dsh-skill-mcp-panel,verified-plugin,tools,4663,14,2,80,27,-53,100
orziz/odai,verified-plugin,skill,27066,28,2,80,45,-35,100
kingOfSoySauce/dsh-skin-market,verified-plugin,market,8497,26,2,80,20,-60,100
omdsh-dev/dsh_workflow,verified-plugin,workflow,10471,16,2,80,76,-4,80
zuorn/Tydora,verified-plugin,other,5732,2,2,80,9,-71,70
Tabbit-Browser/dsh-tabbit,verified-plugin,browser,6051,16,2,80,28,-52,100
Tabbit-Browser/dsh-plugin,verified-plugin,tools,6051,16,2,80,28,-52,100
liguobao/deepseek-harness-remote,verified-plugin,remote,7068,4,2,80,64,-16,70
N0zoM1z0/th08,unknown,fun,11169,14,2,50,36,-14,100
Leslie-SSS/seeWxapkg,verified-non-plugin,tools,10972,16,2,80,62,-18,70
oil-oil/dsh-vision,verified-plugin,tools,5644,8,2,80,22,-58,15
1692775560/dsh-Mimir-Academic-research,verified-plugin,tools,7522,4,2,50,15,-35,35
Renzic-Stone/DSH-EasyRewrite,verified-plugin,session,4960,8,2,80,27,-53,100
liyupi/dsh-kun-like-pet,verified-non-plugin,fun,3927,10,2,50,26,-24,100
LayneChai/superpowers-dsh,verified-plugin,skill,4390,16,2,50,34,-16,100
chokwinlee/deepseek-harness-desktop,verified-plugin,dev,13557,8,2,80,62,-18,70
awesome-dsh-plugin/dsh-find-plugin,verified-plugin,market,1892,2,2,70,12,-58,100
dhicoc/dsh-reverse-skill,verified-plugin,skill,4092,14,2,80,11,-69,80
Hilbert-beinghappy/seektty,verified-plugin,theme,18068,20,2,80,60,-20,70
pingfanfan/hello-dsh,unknown,skill,7393,8,2,50,35,-15,70
wink-run/tokenbank,verified-non-plugin,model,25900,26,2,80,66,-14,65
Alex-Yanggg/awesome-DSH-plugin,unknown,tools,18440,2,2,80,30,-50,80
e2mcc/dsh-popout-sidebar,verified-plugin,ui,6341,8,2,50,40,-10,100
mishibeikejie/zat-dsh-engine,verified-plugin,tools,17181,14,2,80,41,-39,100
XieRW/dsh-beauty-skins,unknown,theme,2732,6,2,80,20,-60,80
AITabby/dockyard-dsh,verified-plugin,model,18032,48,2,80,40,-40,100
titanwings/dsh-automation,verified-plugin,workflow,16636,10,2,50,68,18,100
tencent-connect/dsh-qqbot,verified-plugin,other,5054,12,2,80,30,-50,80
skymecode/deepseek-harness-for-vscode,unknown,session,12288,2,2,80,55,-25,100
bruc3van/dsh-desktop,verified-non-plugin,tools,15440,4,2,80,60,-20,100
2BingLing/dsh-market,conflict,tools,8378,10,2,80,37,-43,45
labring/sealos-skills,verified-plugin,tools,15424,28,2,80,52,-28,80
omdsh-dev/dsh-notification,verified-plugin,notify,4787,8,2,80,9,-71,100
like-study1/Oh-My-DSH,unknown,dev,4153,2,2,50,20,-30,65
Vladimir-Human/ru-marketplace-mcp,verified-plugin,tools,59812,30,2,50,38,-12,100
cpj-dev/dsh-plugin-cc,unknown,session,6157,2,2,80,42,-38,45
Jayden-X-L/forkprobe,verified-plugin,dev,19818,78,2,80,57,-23,65
Noob-stupid/dsh-plugin-hub,verified-plugin,market,23614,18,2,80,64,-16,100
kuangre123/codex-switch,unknown,model,5278,6,2,50,27,-23,65
hanshenmesen/dsh-turn-delete,verified-plugin,session,3424,10,2,80,6,-74,100
starsstreaming/beautiCode,conflict,theme,4105,22,2,50,22,-28,100
LX2000WASD/dsh-web-plugin-manager,verified-plugin,tools,7722,8,2,80,40,-40,100
morluto/jacobian,unknown,model,6778,12,2,50,2,-48,35
Lyn-77/ProMentor,unknown,skill,3391,22,2,80,51,-29,80
ZASENJC/dsh-plugins-store,conflict,tools,9348,18,2,80,39,-41,35
Awu12277/dsh-stock-watch,verified-plugin,fun,6203,6,2,80,36,-44,70
feibi-mochi/deepseek-harness-control-center,verified-plugin,usage,18593,12,2,80,31,-49,65
SeaOf0/dsh-redteam-model,verified-plugin,security,9131,8,2,80,19,-61,100
eri64/dsh-claude-ux,verified-plugin,session,4271,4,2,80,12,-68,80
JingbiaoMei/Tokdash,unknown,model,43299,38,2,80,70,-10,45
THEWOLFWALKER/dsh-notifier,verified-plugin,notify,14408,12,2,80,49,-31,100
Akimiya-z/codex-guard,verified-plugin,dev,22970,30,2,80,80,0,80
mexiaosqwq/dsh-web-mobile,verified-plugin,remote,3271,6,2,80,21,-59,70
PerryLink/dsh-memento,verified-plugin,memory,18548,8,2,80,42,-38,100
c3ll256/dsh-toy,verified-plugin,other,10131,20,2,80,49,-31,80
dclichang2022/dsh-green-meter,verified-non-plugin,other,4244,10,2,50,36,-14,100
Stormycry-cryp/dsh-AuthInOne,verified-plugin,model,24216,14,2,50,52,2,65
openma-ai/Martty,verified-plugin,dev,7430,28,2,80,34,-46,70
PolinniZhong/dsh-omi-voice,verified-plugin,tools,4213,8,2,80,51,-29,70
melandlabs/opencontext,unknown,memory,17781,18,2,80,59,-21,100
vlln/dsh-navbar,verified-plugin,ui,5367,4,2,80,35,-45,100
Yan-Zero/dsh-std,conflict,other,7079,4,2,50,40,-10,65
cofy-x/axern,unknown,dev,8225,16,2,80,46,-34,70
vlln/plugin-registry,verified-plugin,skill,5642,8,2,80,2,-78,70
btspoony/mstar-harness,verified-plugin,skill,12915,4,2,80,0,-80,100
wenbin-wb/dsh-bridge,verified-plugin,remote,19430,20,2,80,65,-15,100
Laplace-bit/dsh-smooth-stream,verified-plugin,ui,3526,8,2,80,15,-65,100
multica-ai/dsh-multica-runtime,verified-plugin,other,2366,8,2,50,2,-48,65
peiyuwang54/deepseek-harness-cli,unknown,dev,6147,22,2,80,5,-75,65
yxxbc/dsh-balance-plugin,verified-plugin,tools,4007,8,2,50,40,-10,65
wxkingstar/SpecFusion,conflict,tools,9610,38,2,80,59,-21,100
DDDMUC/dsh-free-search,verified-plugin,browser,26541,20,2,80,87,7,65
01Virex/dsh-status-rotator,verified-plugin,ui,21573,20,2,80,25,-55,100
omdsh-dev/dsh-open-in-vscode,verified-plugin,notify,3365,6,2,80,25,-55,100
fwerkor/local-shell-mcp,verified-plugin,model,18716,26,2,80,72,-8,100
modusensus/dsh-mneme,verified-plugin,memory,8597,12,2,80,47,-33,100
yyh-001/dsh-meme,verified-plugin,fun,6695,10,2,80,38,-42,100
FlashingChen/dsh-desktop-hub,verified-non-plugin,tools,15058,12,2,80,72,-8,80
franksong2702/dsh-codex-connect,verified-plugin,model,21952,22,2,80,70,-10,100
dshplugin/dsh-plugin-hub,verified-plugin,tools,6463,10,2,80,34,-46,100
yuc16/PatentRadar,unknown,model,24166,40,2,50,66,16,65
LaplaceYoung/oh-my-dsh,verified-non-plugin,other,13971,8,2,80,30,-50,65
whiteguo233/dsh-openbiliclaw,verified-plugin,ui,9734,12,2,80,60,-20,100
xiincs/deepseek-harness-desktop,verified-non-plugin,other,3009,0,2,30,30,0,65
sandbaseai/sandbase-skills,verified-plugin,skill,20442,24,2,80,64,-16,65
heartleo/hn-cli,verified-plugin,dev,9432,36,2,80,33,-47,65
Fishsb/dsh-prompt-enhancer,verified-plugin,tools,3701,6,2,50,40,-10,100
dream12347/dsh-session-manager,verified-plugin,session,5113,10,2,80,61,-19,100
PerryLink/dsh-permission-rules,verified-plugin,security,19371,10,2,80,42,-38,80
HeiGeAi/deepseek-harness-skin,unknown,theme,6020,10,2,80,21,-59,100
kanghelyu/dsh-deepseek-flow,verified-plugin,tools,17570,22,2,80,69,-11,70
AgentDebugX/AgentDebugX,verified-plugin,dev,23521,66,2,80,56,-24,45
anweat/dsh-web-search-pro,verified-plugin,browser,8839,10,2,80,51,-29,65
lamost423/dsh-maze,verified-plugin,model,7851,8,2,80,9,-71,100
JingxuanC/causal-memory,verified-plugin,model,20150,26,2,80,80,0,100
a179-sanae/dsh-auto-collapse,verified-plugin,ui,2906,14,2,80,27,-53,100
whyihaveyou/dsh-suite,conflict,tools,229548,4,2,80,48,-32,80
Fisfzy/dsh-ego-browser,verified-plugin,tools,9619,4,2,80,66,-14,80
Tyan66666/billion-context-dsh,verified-plugin,memory,11728,16,2,80,35,-45,100
Ephemeral-AI-Lab/dsh-plugins,verified-plugin,market,6711,14,2,50,28,-22,65
xgone/dsh-remote,verified-plugin,security,15947,26,2,50,46,-4,100
lamost423/dsh-trace-compare,verified-plugin,session,7851,8,2,80,9,-71,100
xi-zhao/OpenQuantum,verified-plugin,model,14169,16,2,80,44,-36,65
Phant0Meow/dsh-meow-memory,verified-plugin,memory,7746,10,2,50,25,-25,100
Yan-Zero/dsh-codex,verified-plugin,dev,10951,12,2,80,25,-55,100
ymh0000123/dsh-theme-endfield,verified-plugin,theme,1233,8,2,70,22,-48,100
PerryLink/dsh-mcp-panel,verified-plugin,dev,15171,8,2,80,46,-34,80
flizzywine/dsh-tavern,verified-plugin,session,5259,24,2,80,34,-46,80
hanelalo/browser-bridge,verified-non-plugin,tools,17447,42,2,80,39,-41,80
ChangedenCZD/dsh-minimal-turbo,unknown,other,2737,10,2,80,23,-57,80
zenx0x/allinluna,verified-plugin,tools,13382,34,2,50,65,15,65
PivotStackIntelligence/dsh-github,verified-plugin,dev,3810,4,2,80,25,-55,100
openma-ai/deepseek-harness-tui,verified-plugin,dev,7430,28,2,80,34,-46,70
Yts1919/dsh-vision-complete,unknown,tools,6867,14,2,50,56,6,65
Viy1204/recruiting-copilot,verified-plugin,model,6678,12,2,80,54,-26,100
omdsh-dev/dsh-lark,verified-plugin,notify,5082,22,2,80,56,-24,100
hg1048596-pixel/dsh-recall-unread,verified-plugin,ui,5996,12,2,50,43,-7,65
T-Auto/dsh-ecosystem-spec,unknown,other,4826,4,2,50,27,-23,65
PensiveFei/dsh-secure-audit,verified-plugin,security,18423,20,2,80,31,-49,65
HuanLinOTO/dsh-plugin-mineru,verified-plugin,docs,2855,8,2,80,9,-71,65
Moeblack/dsh-message-edit,verified-plugin,session,4417,10,2,80,31,-49,100
rison114514/dsh-endfield-ui,verified-plugin,theme,3997,8,2,50,32,-18,65
MiaoQichuan/new-litigation-visualization,unknown,skill,10936,10,2,80,9,-71,50
alingalingling/ui-status-label,verified-plugin,ui,3502,6,2,80,4,-76,100
Nyasers/dsh-hanako,unknown,other,1713,0,2,50,0,-50,80
edonadei/caliper,unknown,skill,42192,60,2,80,81,1,45
zimodzh/dsh-plugin-dev-skills,verified-plugin,model,5275,6,2,80,5,-75,100
hellodigua/dsh-emoji,verified-plugin,fun,2873,10,2,80,9,-71,100
MichengAI/dsh-codex-desktop,unknown,dev,11175,2,2,50,20,-30,65
